timestamp,pitch_hz,confidence,voiced
34.1040,271.67,0.2572,false
34.1200,297.04,0.4933,false
34.1360,318.86,0.8182,true
34.1520,321.89,0.9709,true
34.1680,316.04,0.9815,true
34.1840,302.88,0.9803,true
34.2000,297.14,0.9873,true
34.2160,293.68,0.9890,true
34.2320,292.30,0.9832,true
34.2480,294.47,0.9804,true
34.2640,296.03,0.9759,true
34.2800,291.78,0.8684,true
34.2960,261.62,0.7102,true
34.3120,255.55,0.5394,false
34.3280,296.19,0.2883,false
34.3440,331.44,0.3935,false
34.3600,353.49,0.8548,true
34.3760,356.79,0.9886,true
34.3920,355.72,0.9990,true
34.4080,354.78,0.9995,true
34.4240,353.95,0.9985,true
34.4400,350.73,0.9948,true
34.4560,350.03,0.9869,true
34.4720,350.68,0.9810,true
34.4880,346.49,0.9360,true
34.5040,325.62,0.7757,true
34.5200,286.97,0.6506,true
34.5360,272.74,0.6686,true
34.5520,270.23,0.4616,false
34.5680,337.22,0.7689,true
34.5840,341.27,0.9679,true
34.6000,341.56,0.9927,true
34.6160,337.98,0.9982,true
34.6320,336.46,0.9995,true
34.6480,335.81,0.9995,true
34.6640,334.57,0.9993,true
34.6800,332.90,0.9979,true
34.6960,330.12,0.9948,true
34.7120,322.54,0.9798,true
34.7280,305.87,0.9389,true
34.7440,295.85,0.7608,true
34.7600,289.65,0.3715,false
34.7760,191.59,0.3073,false
34.7920,322.44,0.5766,false
34.8080,312.65,0.8124,true
34.8240,304.19,0.9424,true
34.8400,299.20,0.9926,true
34.8560,296.11,0.9961,true
34.8720,290.34,0.9909,true
34.8880,287.21,0.9915,true
34.9040,288.32,0.9885,true
34.9200,293.30,0.9861,true
34.9360,296.19,0.9949,true
34.9520,297.84,0.9986,true
34.9680,296.86,0.9949,true
34.9840,289.88,0.9658,true
35.0000,279.25,0.8562,true
35.0160,276.31,0.6231,true
35.0320,286.40,0.7063,true
35.0480,293.38,0.9214,true
35.0640,289.44,0.9420,true
35.0800,278.74,0.9617,true
35.0960,269.33,0.9796,true
35.1120,262.52,0.9964,true
35.1280,257.96,0.9990,true
35.1440,256.60,0.9995,true
35.1600,257.10,0.9996,true
35.1760,258.79,0.9993,true
35.1920,260.52,0.9990,true
35.2080,261.05,0.9982,true
35.2240,261.19,0.9965,true
35.2400,261.23,0.9944,true
35.2560,261.22,0.9949,true
35.2720,261.16,0.9954,true
35.2880,261.18,0.9961,true
35.3040,261.51,0.9965,true
35.3200,262.36,0.9973,true
35.3360,265.88,0.9959,true
35.3520,269.54,0.9931,true
35.3680,269.90,0.9835,true
35.3840,264.11,0.9588,true
35.4000,254.50,0.9237,true
35.4160,257.50,0.9027,true
35.4320,264.29,0.9728,true
35.4480,263.30,0.9770,true
35.4640,261.37,0.9532,true
35.4800,258.21,0.7817,true
35.4960,255.68,0.3909,false
35.5120,200.42,0.2598,false
35.5280,204.69,0.3600,false
35.5440,198.90,0.6200,true
35.5600,193.26,0.8829,true
35.5760,190.78,0.9582,true
35.5920,190.40,0.9829,true
35.6080,190.22,0.9853,true
35.6240,192.87,0.9606,true
35.6400,196.78,0.9464,true
35.6560,198.73,0.9590,true
